eval_eplenmean,eval_discount_q,eval_qs,eval_time_elapsed,eval_qs_difference,total timesteps,eval_abs_qs_difference,eval_ep_rewmean,eval mean 100 episode reward,fps,train_time,env_time,act_time,current_lr,time_elapsed,mean 100 episode reward,ep_rewmean,episodes,qs_abs_difference,update_time,n_updates,discount_q,qs_mean,eplenmean,qs_difference,qfs_loss,q_grad_norm
19.0,13.31146779450466,-1.3661029,0,-7.217513994826889,1,7.217514,14.307607909090907,14.3,,,,,,,,,,,,,,,,,,
,,,,,75,,,,60,0,0,0,0.0003,1,16.1,16.08157575,4,6.351833217952064,0,0,6.558454192039366,0.10046457,18.75,-6.351833217952064,,
,,,,,159,,,,83,0,0,0,0.0003,1,15.4,15.447823999999999,8,5.935400509578247,0,0,11.34122233315887,0.23399386,19.875,-5.300843985043309,,
,,,,,324,,,,143,0,0,0,0.0003,2,19.6,19.60412825,12,2.4798109310049337,0,0,2.0763536433520087,0.06826479,27.0,-2.4798109310049337,,
,,,,,396,,,,167,0,0,0,0.0003,2,18.0,18.006707,16,7.626425900884958,0,0,9.436661106287186,0.09528233,24.75,-7.626425900884958,,
,,,,,469,,,,182,0,0,0,0.0003,2,17.5,17.4676348,20,11.594409772888705,0,0,13.179288931347498,0.12839709,23.45,-11.594409772888705,,
,,,,,563,,,,198,0,1,0,0.0003,2,18.8,18.75381833333333,24,6.693232135625125,0,0,5.6381263389903005,0.12423298,23.458333333333332,-6.693232135625125,,
,,,,,669,,,,213,0,1,0,0.0003,3,19.3,19.30873792857143,28,3.19479246710282,0,0,4.844545688108092,0.2755459,23.892857142857142,-0.4992578882410209,,
,,,,,724,,,,215,0,1,0,0.0003,3,18.1,18.06113496875,32,1.3396765524405276,1,0,2.5909686432351484,0.18480408,22.625,-1.1740389767401034,,
,,,,,857,,,,230,0,1,0,0.0003,3,19.8,19.79443838888889,36,41.56378150870859,1,0,29.623537387843278,0.18195744,23.805555555555557,-41.56378150870859,,
,,,,,1009,,,,232,0,1,0,0.0003,4,22.6,22.629396550000003,40,4.955046929546994,1,0,3.7799876121642173,0.15823641,25.225,-4.955046929546994,,
,,,,,1117,,,,236,0,1,0,0.0003,4,22.7,22.742903022727276,44,5.189428327535132,1,0,5.617606940218729,0.08475768,25.386363636363637,-5.189428327535132,,
,,,,,1223,,,,239,0,1,0,0.0003,5,23.8,23.812367124999998,48,4.93790419798996,2,0,4.057707737946661,0.23632444,25.479166666666668,-4.93790419798996,,
,,,,,1332,,,,240,0,1,0,0.0003,5,23.7,23.703084519230767,52,10.627356505334028,2,0,11.740248444222699,0.26927304,25.615384615384617,-10.627356505334028,,
,,,,,1384,,,,245,0,1,0,0.0003,5,22.7,22.698087928571432,56,5.13640698422328,2,0,7.782289167437224,0.1624197,24.714285714285715,-5.12296799566425,,
,,,,,1457,,,,242,0,2,0,0.0003,6,22.1,22.06271926666667,60,8.622906953255594,2,0,10.330656650952848,0.2195017,24.283333333333335,-8.622906953255594,,
,,,,,1588,,,,243,0,2,0,0.0003,6,22.1,22.075271078125002,64,7.987458372452394,2,0,6.887579063651059,0.28125998,24.8125,-7.987458372452394,,
,,,,,1655,,,,239,0,2,0,0.0003,6,21.6,21.629056852941176,68,5.113620008500403,3,0,7.8243887449347,0.2848721,24.33823529411765,-5.113620008500403,,
,,,,,1704,,,,231,0,2,0,0.0003,7,20.9,20.906758986111114,72,4.81817316940333,3,0,7.9720957170681785,0.29921544,23.666666666666668,-4.81817316940333,,
,,,,,1764,,,,236,0,2,0,0.0003,7,20.5,20.450870552631585,76,3.7649043524102463,3,0,5.905478423891383,0.14492491,23.210526315789473,-3.7649043524102463,,
,,,,,1862,,,,233,0,2,0,0.0003,7,20.5,20.489620975,80,6.077454224740193,3,0,5.60377601882103,0.25377655,23.275,-6.077454224740193,,
,,,,,2001,,,,223,0,2,0,0.0003,8,21.0,20.99560729761905,84,5.119299659115911,4,0,3.277082307977258,0.2689839,23.821428571428573,-5.119299659115911,,
,,,,,2113,,,,220,0,2,0,0.0003,9,21.4,21.43500231818182,88,10.060573757901874,5,0,8.173761269949093,0.17594858,24.011363636363637,-10.060573757901874,,
,,,,,2199,,,,226,0,2,0,0.0003,9,20.9,20.930826858695653,92,3.1412603287148757,5,0,4.949866165046789,0.30958816,23.902173913043477,-3.0242790534372226,,
,,,,,2279,,,,222,0,2,0,0.0003,10,20.7,20.687859739583335,96,3.724779394915958,5,0,4.355485102925894,0.17709485,23.739583333333332,-3.724779394915958,,
,,,,,2373,,,,219,0,3,0,0.0003,10,20.7,20.706808120000005,100,3.1621879141455977,6,0,5.755793354590987,0.3092058,23.73,-2.9950835559919815,,
,,,,,2468,,,,216,0,3,0,0.0003,11,21.0,20.98418181,104,5.657946254588699,6,0,4.886194585196986,0.29504734,23.93,-5.657946254588699,,
